Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1996,13,CHH/NOK,Kobe Bryant,173.3,34.7,138.6
1998,9,MIL,Dirk Nowitzki,176.6,45.1,131.5
1995,5,MIN,Kevin Garnett,187.1,59.0,128.1
1997,1,SAS,Tim Duncan,185.5,77.5,108.0
1996,15,PHO,Steve Nash,129.5,23.8,105.7
1992,1,ORL,Shaquille O'Neal,181.7,77.5,104.2
1998,10,BOS,Paul Pierce,138.5,44.3,94.2
2003,1,CLE,LeBron James,170.4,77.5,92.9
2005,4,NOH,Chris Paul,145.5,60.1,85.4
1990,2,SEA/OKC,Gary Payton,145.5,61.8,83.7
1996,5,MIN,Ray Allen,142.0,59.0,83.0
1998,32,SEA/OKC,Rashard Lewis,89.9,7.3,82.6
1999,57,SAS,Manu Ginobili,89.5,7.8,81.7
2001,28,SAS,Tony Parker,92.1,13.2,78.9
1994,2,DAL,Jason Kidd,138.6,61.8,76.8
1992,29,NJN,P.J. Brown,89.8,14.1,75.7
1999,9,PHO,Shawn Marion,120.2,45.1,75.1
2007,48,LAL,Marc Gasol,79.4,7.5,72.0
2007,2,SEA/OKC,Kevin Durant,132.9,61.8,71.1
1999,8,CLE,Andre Miller,96.4,25.5,70.9
2002,34,CLE,Carlos Boozer,76.0,8.7,67.3
1996,14,SAC,Peja Stojakovic,82.6,16.0,66.6
2005,30,NYK,David Lee,79.3,14.2,65.1
1993,24,HOU,Sam Cassell,87.5,26.1,61.4
1997,3,BOS,Chauncey Billups,121.1,60.8,60.3
1995,21,PHO,Michael Finley,85.2,26.9,58.3
1991,4,DEN,Dikembe Mutombo,117.0,60.1,56.9
1994,10,LAL,Eddie Jones,100.6,44.3,56.3
2006,47,UTA,Paul Millsap,65.9,9.8,56.1
1996,20,CLE,Zydrunas Ilgauskas,66.3,13.1,53.2
1998,5,GSW,Vince Carter,112.1,59.0,53.1
1991,13,IND,Dale Davis,86.9,34.7,52.2
1997,9,TOR,Tracy McGrady,97.3,45.1,52.2
2003,5,MIA,Dwyane Wade,110.1,59.0,51.1
2001,6,MEM/VAN,Shane Battier,74.0,23.8,50.2
1990,27,LAL,Elden Campbell,62.8,12.9,49.9
2001,3,ATL,Pau Gasol,110.6,60.8,49.8
1999,10,ATL,Jason Terry,93.9,44.3,49.6
2003,18,NOH,David West,69.7,20.8,48.9
2004,26,SAC,Kevin Martin,67.0,18.4,48.6
1999,24,UTA,Andrei Kirilenko,74.3,26.1,48.2
1995,15,DEN,Brent Barry,70.5,23.8,46.7
1990,45,IND,Antonio Davis,59.6,13.1,46.5
1990,29,CHI,Toni Kukoc,59.6,14.1,45.5
2001,25,SAC,Gerald Wallace,58.7,13.4,45.3
1995,4,WAS/WSB,Rasheed Wallace,105.1,60.1,45.0
1992,11,HOU,Robert Horry,66.3,21.3,45.0
2000,43,MIL,Michael Redd,55.9,11.2,44.7
1991,11,CLE,Terrell Brandon,65.9,21.3,44.6
2000,16,SAC,Hedo Turkoglu,61.3,16.8,44.5
